model,variable,moderator_value,slope,SE,df,lower_ci,upper_ci,p.value
EA_HPSM,Zprog_ww,1,-0.02774878064398676,0.019910354231801076,472.23634977204506,-0.06687262966186425,0.011375068373890719,0.16406797626060712
EA_HPSM,Zestr_ww,-1,0.10986597744724262,0.020100265940636446,531.424717477322,0.07038025163634382,0.14935170325814143,7.09274965530677e-8
EA_HPSM,Zestr_ww,0,0.05688462872867907,0.014527581551700692,602.7166380470087,0.02835379901555611,0.08541545844180203,1.0046964486282968e-4
EA_HPSM,Zestr_ww,1,0.003903280010115518,0.020112529262102292,540.7388109120302,-0.03560498297980161,0.04341154300003264,0.8461923412987977
EA_PRCPSSy,Zprc_stirn_ww,-1,0.12546003941081427,0.016724695243289962,467.6076528763789,0.09259517490477806,0.15832490391685047,3.203397833938053e-13
EA_PRCPSSy,Zprc_stirn_ww,0,0.07429118012227712,0.011683727274254301,468.42678447421343,0.05133217454239918,0.09725018570215505,4.843957291207343e-10
EA_PRCPSSy,Zprc_stirn_ww,1,0.023122320833739978,0.016578704890920167,468.12227056654393,-0.009455572379221743,0.055700214046701696,0.16376775490126533
EA_HPSSy,Zprog_ww,-1,-0.14824877657948976,0.020176391129126357,467.67791846720655,-0.1878963810658836,-0.10860117209309592,9.057937785074814e-13
EA_HPSSy,Zprog_ww,0,-0.0873936519481412,0.014116511422690112,470.81901171706073,-0.11513281354474375,-0.05965449035153864,1.3035664909050968e-9
EA_HPSSy,Zprog_ww,1,-0.026538527316792637,0.02003934597498827,468.5520485134904,-0.0659166407085836,0.012839586074998317,0.18604206335127377
EA_HPSSy,Zestr_ww,-1,0.10404630770274158,0.020279346937215944,531.2484071487548,0.06420875820194322,0.14388385720353994,4.054669421918425e-7
EA_HPSSy,Zestr_ww,0,0.05309811507956455,0.014595049607868742,598.0281371771323,0.024434332170614543,0.08176189798851456,2.983951297987661e-4
EA_HPSSy,Zestr_ww,1,0.002149922456387527,0.020145380552891355,536.0313021895678,-0.037423651922445844,0.041723496835220905,0.9150507506019647
EA_PRCPS,Zprc_stirn_ww,-1,0.12955292875135935,0.016539844530802237,466.138430482854,0.09705103933306997,0.16205481816964873,3.251151585684852e-14
EA_PRCPS,Zprc_stirn_ww,0,0.07716427377861702,0.011595734895186184,469.5435554283267,0.05437831723243374,0.0999502303248003,7.939406453528264e-11
